Year,S,Z1,Z2,FracI1,FracI2,nu1,nu2,fecundity,rep,pdoug,sigma,phi
1,1.63746049953783,0.06199209045814773,0.3348116237138933,0,0,0.10000000000000002,0.10000000000000002,0,9,18,0.5,1
2,23.41030339576656,0.03326846133798893,0.16111516946710583,0.01274284751325937,0.05749876898244115,0.61675817809518,0.1580640398666687,11.739278755951709,9,18,0.5,1
3,14.616183250799647,7.048619258174085,3.619788666126182,0.2579995995217518,0.12308334992880177,0.03800194416660257,0.08714908873728074,0.6853644270919315,9,18,0.5,1
4,6.466845291861403,3.605715891056572,2.1481901473826515,0.12056714225874242,0.09546676255701114,0.01813619601652876,0.03044000809155009,0.5627425199238986,9,18,0.5,1
5,18.493593079227637,1.3669428153706271,0.7089754244345535,0.07465432016875342,0.03891822056140646,0.03497154350925957,0.01985828981041739,0.8910163117388026,9,18,0.5,1
6,20.43301855159384,2.908289736729593,0.6680615924192849,0.10193102427973348,0.02066038298090104,0.04551325454739154,0.01935442557277944,0.9780671531774549,9,18,0.5,1
7,6.596446915090727,4.153777317626812,0.9656517158009305,0.13042998821061463,0.02701351537030683,0.02997259626043415,0.02380770942395255,0.7170358762952633,9,18,0.5,1
8,11.276274434654926,1.692516368015837,0.4855108082418772,0.09835615440378805,0.03029382513942182,0.03282297467324668,0.03092210316926199,0.8515764356406819,9,18,0.5,1
9,18.177491985389427,1.6751156073287323,0.621090703160854,0.08573992425330691,0.03077211711973351,0.05392876910389041,0.04218518864869206,1.2061878867459506,9,18,0.5,1
10,7.306919173466096,3.345601061281225,1.5636980931307003,0.121891842458236,0.05162521853152937,0.04268369902203065,0.04333513895317238,0.8795327860132613,9,18,0.5,1
11,6.7331921054636865,1.6795010608854846,0.7943925019571114,0.10451930787964606,0.04725341128442147,0.04039576523716324,0.03362094462236873,0.9286518961888848,9,18,0.5,1
12,19.99229370654317,1.1259271405704738,0.42052925120265017,0.08600615164995447,0.02744721874828565,0.0680878409791574,0.03338392683617171,1.4199679100198752,9,18,0.5,1
13,31.318744127399317,3.8951955764320383,1.165093370338502,0.1343033763783611,0.03485034296242663,0.04579325278590145,0.03635576569141197,0.8806344043971571,9,18,0.5,1
14,8.929099366606374,6.317957213138961,3.2439274978083334,0.1349825385545594,0.06453176943692893,0.02007462045092523,0.02750146856725909,0.5450046752438759,9,18,0.5,1
15,7.489683183735514,2.348150693496244,1.2477062386985454,0.09259743891033444,0.05195166278576244,0.02077917647550174,0.01831470589089831,0.620018850608049,9,18,0.5,1
16,23.844570542699717,1.1890344009493432,0.4738929530169845,0.07028237475123403,0.02244145959962377,0.04852950577313992,0.01741714529962945,1.1256965621183272,9,18,0.5,1
17,19.193455150993977,4.45651576174226,0.841086951473678,0.12756089048230385,0.020642079882253542,0.03879235077210248,0.02134292891162512,0.8028419844910997,9,18,0.5,1
18,4.799055901276866,4.048247682726473,1.172693943044812,0.12441668694628834,0.03435427627216786,0.02365310182073139,0.02566937232241437,0.644030977101111,9,18,0.5,1
19,11.569237013240295,1.3571701245778007,0.4697391171983208,0.0855005014860308,0.03403473369864939,0.03363868929827711,0.03079392284976857,0.8827220912237216,9,18,0.5,1
20,77.36499264034961,1.6163429015754207,0.5987456039555923,0.083428263865447,0.0290504047305136,0.06058785914834949,0.04038151551094412,1.3101111436978852,9,18,0.5,1
21,21.828491555918568,18.77190373024515,11.556799113070122,0.1901274521563093,0.0991418803162372,0.01095396811406394,0.02380676782318728,0.363223618469577,9,18,0.5,1
22,5.602457265885175,6.432107636937668,4.17223178543669,0.09966726061981523,0.08624032678053815,0.00602406553201369,0.00896892587561952,0.3479684279883829,9,18,0.5,1
23,8.052425926797731,1.670958359493694,0.9831593447835896,0.0514248184622637,0.02618647634401038,0.01660402083556242,0.00654550217851192,0.5704585994871922,9,18,0.5,1
24,15.313341210617224,0.9745656688220304,0.2739380590244346,0.05788893882849989,0.00786393895616864,0.06047166404224498,0.00713059037785092,1.3380953728807476,9,18,0.5,1
25,8.860872117175093,2.862945803676515,0.1407394572917574,0.1261024893844921,0.00410843259415089,0.05806873786886825,0.01139943910501158,1.06858171120734,9,18,0.5,1
26,9.21782049359697,2.0442585874034354,0.07224871875735435,0.12501460575344364,0.00344443944423991,0.04463251335353709,0.02278877827404221,0.97974637078171,9,18,0.5,1
27,8.343869310930751,1.704658586930591,0.09270385304554518,0.10315761988427356,0.00547084905908105,0.05291020394050214,0.05537574968433811,1.2274370583402998,9,18,0.5,1
28,7.576023905190617,1.532217471452452,0.3626482632773688,0.10474654544920972,0.025254537275699582,0.06134007356207674,0.1242551430904152,1.389523321455796,9,18,0.5,1
29,15.71854111528466,1.3173852388344336,0.8643847756954894,0.09872224295046383,0.06867025326458889,0.07067594883837111,0.16166212660403328,1.4217024713142186,9,18,0.5,1
30,7.3162136580249,2.711507260978888,2.02059076357051,0.1148599708597629,0.08782436843602619,0.05439237035559554,0.08670010583500569,1.024300077649723,9,18,0.5,1
31,12.752668516723435,1.58108391860342,0.9249552774060046,0.10711250460512738,0.05969717183016494,0.04910412331142109,0.04048294550866557,1.0370565498961972,9,18,0.5,1
32,20.39539399544528,2.152083310073184,0.7007951635347791,0.10484152564873556,0.0300089163865924,0.05471700829523855,0.02790024629739053,1.1134124717147762,9,18,0.5,1
33,19.51922465792858,4.041708349494963,1.1305270750984264,0.1315136101076727,0.03252740124486562,0.03515939778732811,0.0268997052165712,0.7720767466631557,9,18,0.5,1
34,12.388223660290974,3.816796970317907,1.504604343893255,0.11600001890210242,0.04418627524381511,0.02496161130479847,0.02586567403159872,0.6636818633135835,9,18,0.5,1
35,9.70003298382676,2.3175934292249845,1.037178177459925,0.09335982777447474,0.04172453709949648,0.02997760188230223,0.02410750459440959,0.7801741183464588,9,18,0.5,1
36,10.131637056116414,1.6321974062179545,0.6318535309029623,0.08831037731493462,0.03050190582704667,0.04733498930314812,0.02550635843318667,1.0736034012987123,9,18,0.5,1
37,4.167650985616102,1.754881776096836,0.5081104983395381,0.10310554320745471,0.02543630680401938,0.05985516393447796,0.03167126426115437,1.2288374973734952,9,18,0.5,1
38,8.885642088695379,0.9187200049075162,0.23763364335173065,0.1015400128660409,0.02216634813055392,0.07842451491158807,0.04551895934044688,1.5756829129790226,9,18,0.5,1
39,15.723308365968103,1.5265329794306006,0.4030806079879293,0.1095457028891402,0.02584738261556444,0.08724235188174168,0.06980059449162357,1.619932793027541,9,18,0.5,1
40,12.36425511130324,3.1539855982580605,1.5236126409361148,0.1357681979568047,0.05901612377304684,0.04947876206679048,0.07387917316112866,0.93907853640912,9,18,0.5,1
41,12.77023653909042,2.4358479247733187,1.3850933592372496,0.1107513196329663,0.0646122693327496,0.0366386067224722,0.04619498909994859,0.8431928592029909,9,18,0.5,1
42,16.67032539772901,2.187288906874033,1.048083179382149,0.098276499052969285,0.04512925676280861,0.04210141307800929,0.03113259897372802,0.9492315190102908,9,18,0.5,1
43,22.074574143757456,2.9833648058891145,1.067340831187128,0.1122888171387782,0.03608482520112925,0.03947260099689256,0.02532282567862288,0.8720585899017042,9,18,0.5,1
44,18.867187310397263,4.187223710319634,1.517630533161525,0.1209870906573476,0.03996731994267326,0.02837557654288075,0.02294805377890517,0.693553317229875,9,18,0.5,1
45,9.610764688994552,3.5524685668811267,1.4647137814328397,0.10759677603741948,0.04251439068970908,0.02457526748263011,0.02059384594364931,0.6638992253449254,9,18,0.5,1
46,8.590769409145214,1.8776334923610392,0.7441990745406291,0.09008984935871137,0.03311371985633697,0.03406836427403612,0.02064909930417088,0.8537805356060707,9,18,0.5,1
47,21.18378606745031,1.4131303213620872,0.43047253140547903,0.08819712668893384,0.02257635318954309,0.05757837029657418,0.02591773479777584,1.244807590963962,9,18,0.5,1
48,33.75049930476296,4.085583073764828,1.153146415026159,0.13141211699436964,0.03224340298436813,0.04037055016500994,0.03220915126623045,0.828214169043638,9,18,0.5,1
49,10.09697342797845,6.712011812273764,3.505107768632459,0.1328373269976687,0.06455984725437268,0.01859615970659945,0.02552438336405841,0.5247646113134807,9,18,0.5,1
50,3.987150501971248,2.562679275098456,1.3905642605351027,0.09209704578861666,0.05289574376849534,0.01913617154512789,0.01690530886637452,0.590941949742624,9,18,0.5,1
51,6.98053672616129,0.8686578084530812,0.391494729553542,0.06586794242826453,0.02161059247346175,0.0495415117675785,0.01613789039969631,1.153466101950116,9,18,0.5,1
52,7.279393711474027,1.0095464849650455,0.1827658590947077,0.08640483618019817,0.01057890971932125,0.10239007290675305,0.02314693746473633,1.9453596350639704,9,18,0.5,1
