thresh,biocontrol,type,period,rep,pdoug,avg_pop
0.2,1,100% multi-capsid morphotype,1,1,18,3.702437441861092
0.2,1,100% multi-capsid morphotype,1,2,18,3.8167821019721426
0.2,1,100% multi-capsid morphotype,1,3,18,4.276537138697343
0.2,1,100% multi-capsid morphotype,1,4,18,3.8592172776865734
0.2,1,100% multi-capsid morphotype,1,5,18,4.669097626513067
0.2,1,100% multi-capsid morphotype,1,6,18,3.470430206830328
0.2,1,100% multi-capsid morphotype,1,7,18,4.323814892192467
0.2,1,100% multi-capsid morphotype,1,8,18,3.9919762644952774
0.2,1,100% multi-capsid morphotype,1,9,18,2.91612809666227
0.2,1,100% multi-capsid morphotype,1,10,18,2.993707964124358
0.2,1,100% multi-capsid morphotype,1,11,18,3.063256948537035
0.2,1,100% multi-capsid morphotype,1,12,18,4.43055983619741
0.2,1,100% multi-capsid morphotype,1,13,18,4.021555812820988
0.2,1,100% multi-capsid morphotype,1,14,18,3.2034853320992935
0.2,1,100% multi-capsid morphotype,1,15,18,3.1781367209851075
0.2,1,100% multi-capsid morphotype,1,16,18,3.9892892898275827
0.2,1,100% multi-capsid morphotype,1,17,18,3.71150338262253
0.2,1,100% multi-capsid morphotype,1,18,18,4.183013784881781
0.2,1,100% multi-capsid morphotype,1,19,18,3.9916463621205316
0.2,1,100% multi-capsid morphotype,1,20,18,2.5767344271100145
0.2,1,100% multi-capsid morphotype,2,1,18,3.3250316336676793
0.2,1,100% multi-capsid morphotype,2,2,18,3.5933427365977666
0.2,1,100% multi-capsid morphotype,2,3,18,3.5534456362155216
0.2,1,100% multi-capsid morphotype,2,4,18,3.5067613818266525
0.2,1,100% multi-capsid morphotype,2,5,18,2.8740828216904912
0.2,1,100% multi-capsid morphotype,2,6,18,3.569068194710468
0.2,1,100% multi-capsid morphotype,2,7,18,2.9160752957846157
0.2,1,100% multi-capsid morphotype,2,8,18,3.0940594012346607
0.2,1,100% multi-capsid morphotype,2,9,18,3.6082897627610113
0.2,1,100% multi-capsid morphotype,2,10,18,3.7477589182691875
0.2,1,100% multi-capsid morphotype,2,11,18,3.585444573928812
0.2,1,100% multi-capsid morphotype,2,12,18,4.19067090795177
0.2,1,100% multi-capsid morphotype,2,13,18,4.544984930482879
0.2,1,100% multi-capsid morphotype,2,14,18,3.1965148400866523
0.2,1,100% multi-capsid morphotype,2,15,18,3.376715187729466
0.2,1,100% multi-capsid morphotype,2,16,18,3.798308426547976
0.2,1,100% multi-capsid morphotype,2,17,18,2.0126671683143016
0.2,1,100% multi-capsid morphotype,2,18,18,2.2462658671379465
0.2,1,100% multi-capsid morphotype,2,19,18,2.314056423139431
0.2,1,100% multi-capsid morphotype,2,20,18,4.278838058492384
0.2,1,100% multi-capsid morphotype,3,1,18,3.8630622099145073
0.2,1,100% multi-capsid morphotype,3,2,18,3.8624925980478455
0.2,1,100% multi-capsid morphotype,3,3,18,3.5422412859424535
0.2,1,100% multi-capsid morphotype,3,4,18,3.6190965818560454
0.2,1,100% multi-capsid morphotype,3,5,18,3.6655794561641675
0.2,1,100% multi-capsid morphotype,3,6,18,3.762278384642399
0.2,1,100% multi-capsid morphotype,3,7,18,3.944069857655861
0.2,1,100% multi-capsid morphotype,3,8,18,3.926631814306782
0.2,1,100% multi-capsid morphotype,3,9,18,4.10233303591086
0.2,1,100% multi-capsid morphotype,3,10,18,3.5489864263265085
0.2,1,100% multi-capsid morphotype,3,11,18,3.0862594035756272
0.2,1,100% multi-capsid morphotype,3,12,18,3.3474422515538764
0.2,1,100% multi-capsid morphotype,3,13,18,3.689746005944411
0.2,1,100% multi-capsid morphotype,3,14,18,4.220926545242508
0.2,1,100% multi-capsid morphotype,3,15,18,3.5486850752773242
0.2,1,100% multi-capsid morphotype,3,16,18,3.817880162473787
0.2,1,100% multi-capsid morphotype,3,17,18,4.119693433138284
0.2,1,100% multi-capsid morphotype,3,18,18,3.8620644700259823
0.2,1,100% multi-capsid morphotype,3,19,18,3.797010677471592
0.2,1,100% multi-capsid morphotype,3,20,18,3.0979387101055598
0.2,5,100% multi-capsid morphotype,1,1,18,3.7155122380023755
0.2,5,100% multi-capsid morphotype,1,2,18,4.112088277946546
0.2,5,100% multi-capsid morphotype,1,3,18,2.8786807071091642
0.2,5,100% multi-capsid morphotype,1,4,18,3.4239989458826328
0.2,5,100% multi-capsid morphotype,1,5,18,3.4738468657026953
0.2,5,100% multi-capsid morphotype,1,6,18,4.463087500684387
0.2,5,100% multi-capsid morphotype,1,7,18,2.9148019598011325
0.2,5,100% multi-capsid morphotype,1,8,18,3.1737687816432034
0.2,5,100% multi-capsid morphotype,1,9,18,4.789064774023817
0.2,5,100% multi-capsid morphotype,1,10,18,3.766639747152226
0.2,5,100% multi-capsid morphotype,1,11,18,3.5421887166400396
0.2,5,100% multi-capsid morphotype,1,12,18,3.2876261520093912
0.2,5,100% multi-capsid morphotype,1,13,18,3.0379633844942946
0.2,5,100% multi-capsid morphotype,1,14,18,4.359266026726332
0.2,5,100% multi-capsid morphotype,1,15,18,2.938639204691374
0.2,5,100% multi-capsid morphotype,1,16,18,4.0924337897843595
0.2,5,100% multi-capsid morphotype,1,17,18,3.9097643050325677
0.2,5,100% multi-capsid morphotype,1,18,18,3.8223675479747974
0.2,5,100% multi-capsid morphotype,1,19,18,4.106798067337807
0.2,5,100% multi-capsid morphotype,1,20,18,2.9608992216863887
0.2,5,100% multi-capsid morphotype,2,1,18,2.7069848976025215
0.2,5,100% multi-capsid morphotype,2,2,18,2.5147152002468496
0.2,5,100% multi-capsid morphotype,2,3,18,2.8458975228099685
0.2,5,100% multi-capsid morphotype,2,4,18,2.922834597973706
0.2,5,100% multi-capsid morphotype,2,5,18,3.3852641397827163
0.2,5,100% multi-capsid morphotype,2,6,18,3.070383268660333
0.2,5,100% multi-capsid morphotype,2,7,18,3.1025791684191066
0.2,5,100% multi-capsid morphotype,2,8,18,3.383115414945915
0.2,5,100% multi-capsid morphotype,2,9,18,2.36169850359079
0.2,5,100% multi-capsid morphotype,2,10,18,2.8279488135607207
0.2,5,100% multi-capsid morphotype,2,11,18,2.8817571376607827
0.2,5,100% multi-capsid morphotype,2,12,18,3.826378490701112
0.2,5,100% multi-capsid morphotype,2,13,18,3.3448205374227595
0.2,5,100% multi-capsid morphotype,2,14,18,2.557999800833772
0.2,5,100% multi-capsid morphotype,2,15,18,2.1106761839640225
0.2,5,100% multi-capsid morphotype,2,16,18,3.6335526303638304
0.2,5,100% multi-capsid morphotype,2,17,18,3.268759442802684
0.2,5,100% multi-capsid morphotype,2,18,18,3.334675507771979
0.2,5,100% multi-capsid morphotype,2,19,18,3.4091138896761346
0.2,5,100% multi-capsid morphotype,2,20,18,2.5056737191494882
0.2,5,100% multi-capsid morphotype,3,1,18,3.204957455250688
