sS,sM,phi,rho,ll,round,type,iter
112.52968884848808,31.795833887502113,32.910986708490164,0.10086693627787266,-442.8501602322004,30,tried,136
215.5940832665274,60.61200025861143,23.660383498561604,0.10100690032465892,-445.22956531319295,20,tried,42
933.1112643206138,182.03201623918147,19.75360877863453,0.10095349252996567,-449.6006017790204,18,tried,17
214.60018844011873,63.20965617462561,17.825851313508213,0.10155237806952494,-451.2465762194788,10,tried,78
95.85174792545536,51.47124762478267,20.116997603202066,0.10102270174373489,-452.2126011325049,5,tried,59
519.6141577495627,156.42925272495592,24.48272161190355,0.10086894637391816,-452.7712706799769,29,tried,60
215.5940832665274,60.61200025861143,17.972846304846353,0.10100690032465892,-453.09082490206623,20,tried,36
519.6141577495627,159.62713997855664,24.48272161190355,0.10086894637391816,-453.8817932035442,29,tried,86
627.5828463880151,157.80886428559927,23.90023289012408,0.10101820307964364,-454.7595619699145,15,tried,35
933.1112643206138,182.03201623918147,15.456184518072028,0.10095349252996567,-454.89931560883946,18,tried,97
634.5616121233141,149.36553629326667,17.05368423024727,0.10102673563321904,-458.4851270121458,2,tried,120
634.5616121233141,149.36553629326667,22.197105653489643,0.10102673563321904,-458.7402482612628,2,tried,122
214.60018844011873,63.20965617462561,25.67294178064987,0.10155237806952494,-458.9783485216448,10,tried,26
247.66238184105816,63.20965617462561,25.67294178064987,0.10155237806952494,-459.0780103709284,10,tried,73
762.4586992301578,103.69102476148164,13.865846153318,0.10095045322700134,-459.3790119087992,1,tried,103
519.6141577495627,156.42925272495592,15.621594627856664,0.10086894637391816,-459.63097025969427,29,tried,122
933.1112643206138,297.99620621909276,19.75360877863453,0.10095349252996567,-459.7741326741372,18,tried,117
214.60018844011873,63.20965617462561,15.454770360109244,0.10155237806952494,-460.46414483816966,10,tried,77
451.33986675472664,267.32599381645167,22.03055712710974,0.10156430329499108,-461.07318864559335,17,tried,92
381.9726684860097,60.61200025861143,17.972846304846353,0.10100690032465892,-461.12155321617706,20,tried,20
634.5616121233141,149.36553629326667,11.797494907627684,0.10102673563321904,-461.1670231374964,2,tried,115
215.5940832665274,60.61200025861143,21.534304767466317,0.10100690032465892,-461.4363439875942,20,tried,118
215.5940832665274,60.61200025861143,17.818712597080495,0.10100690032465892,-461.72507766113864,20,tried,117
967.994984047853,149.36553629326667,11.797494907627684,0.10102673563321904,-461.80182644896814,2,tried,50
309.53566805741326,101.35984992460396,40.13704477852739,0.10095780150075216,-461.9130470330781,26,tried,137
260.52703525863546,111.28416468269602,24.312964883254516,0.10131701801568942,-462.1662702009357,21,tried,81
215.5940832665274,60.61200025861143,23.660383498561604,0.10107120743654062,-462.70851362483745,20,tried,95
78.50413900210289,31.795833887502113,32.910986708490164,0.10086693627787266,-462.7093737493082,30,tried,153
214.60018844011873,63.20965617462561,20.560705053986723,0.10155237806952494,-462.7828796211715,10,tried,79
627.5828463880151,157.80886428559927,28.021987700462592,0.10101820307964364,-463.3112561838904,15,tried,52
