sS_DO,sS_GR,sM,phi,rho,ll,round,type,iter
1.1124968817706828,308.28152559849167,1.838205830308351,15.203183518842147,0.10145358027019497,-319.7468560144088,1,tried,150
1.1124968817706828,308.28152559849167,1.838205830308351,18.320217074247925,0.10145358027019497,-341.65341028336445,1,tried,139
1.062641540929893e-5,241.90603944239135,1.0268193030537291,16.990742949765753,0.19802939607123765,-341.83710465326146,8,tried,122
0.597561362099531,1254.88419034431,5.832969496625317,12.31688510350501,0.2903033760806366,-344.3271974754233,5,tried,70
1.2076553208395296e-4,1254.88419034431,5.832969496625317,12.31688510350501,0.2903033760806366,-344.63631708605874,5,tried,63
1.1124968817706828,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,-344.9364549630928,1,tried,113
0.5350812510899793,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,-345.6686573103865,1,tried,99
1.062641540929893e-5,241.90603944239135,1.0268193030537291,16.990742949765753,0.23442085546414657,-345.80620555938026,8,tried,123
0.0946843616352159,1254.88419034431,5.832969496625317,12.31688510350501,0.2903033760806366,-347.17673281013714,5,tried,112
0.13836887197080092,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,-347.27752798061454,1,tried,98
0.05258094208182015,1254.88419034431,5.832969496625317,12.31688510350501,0.2903033760806366,-348.995300109281,5,tried,68
1.271453423842893,1254.88419034431,5.832969496625317,12.31688510350501,0.2903033760806366,-349.64813597317226,5,tried,114
0.597561362099531,1254.88419034431,5.832969496625317,12.31688510350501,0.2957257140165822,-349.83775970741397,5,tried,136
1.1124968817706828,308.28152559849167,1.838205830308351,18.320217074247925,0.13539883678739464,-350.64445036925855,1,tried,140
0.3285573558698715,1254.88419034431,5.832969496625317,12.31688510350501,0.2903033760806366,-350.8183448452535,5,tried,27
0.00424391760449568,2178.23200359712,13.807372463536996,15.407655829966982,0.14348461156714123,-351.1481735146356,28,tried,85
1.0670887836906403e-5,1254.88419034431,5.832969496625317,12.31688510350501,0.2903033760806366,-351.52159338242427,5,tried,105
1.1124968817706828,308.28152559849167,1.838205830308351,20.00948330877754,0.10145358027019497,-351.5443633485942,1,tried,152
1.1124968817706828,308.28152559849167,1.838205830308351,17.441555173222188,0.10145358027019497,-351.9020990144224,1,tried,151
1.8848452568412445e-4,2178.23200359712,13.807372463536996,15.407655829966982,0.14348461156714123,-352.2026098665307,28,tried,123
0.00424391760449568,2178.23200359712,13.807372463536996,23.571948789820983,0.14348461156714123,-352.5040606704754,28,tried,88
4.137618071808527e-5,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,-353.21602714410125,1,tried,92
4.008478298784263,2178.23200359712,13.807372463536996,15.407655829966982,0.14348461156714123,-353.2681754608711,28,tried,106
1.1124968817706828,308.28152559849167,1.838205830308351,22.955488676774912,0.10145358027019497,-353.79495972992265,1,tried,153
0.01090992253923647,308.28152559849167,1.838205830308351,18.320217074247925,0.14247905680920625,-353.9699045004511,1,tried,109
1.062641540929893e-5,241.90603944239135,1.0268193030537291,16.990742949765753,0.27749989934208474,-354.1311762399583,8,tried,124
5.34072405026554e-5,1647.097872233728,9.398139154627966,10.0816989046734,0.3680454970813132,-354.13561889195023,17,tried,98
0.00343682897006292,179.14966524866358,1.0483263715413134,19.988755870386875,0.2866804718870745,-354.4050532152642,23,tried,154
0.597561362099531,1147.4869902755358,5.832969496625317,12.31688510350501,0.2903033760806366,-354.533656010163,5,tried,154
0.597561362099531,1254.88419034431,5.832969496625317,12.31688510350501,0.288780358034186,-355.333770948697,5,tried,98
