sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,pdoug,sigma,mean_MNPV,sd,q1,q9,pset
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,34,0.05,0.45249615603020427,0.047721540778281536,0.3546636465906135,0.5404652832961157,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,35,0.05,0.57845197502784,0.04340773739127527,0.4955029713260172,0.6640033300931683,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,5,0.05,0.2978126447261141,0.023880067149635833,0.2537854710359471,0.34381673226374454,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,3,0.75,0.3705393724480775,0.026982072866040055,0.3212915691119046,0.42529632483971075,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,32,0.05,0.4222443710809072,0.05740263613037789,0.30031855848754435,0.537690662838144,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,8,0.5,0.35161685254364317,0.027084955142976416,0.3010916127153586,0.40443365616458826,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,36,0.05,0.7132289886658036,0.02287123496055706,0.6672719731148135,0.7541525220994325,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,18,0.05,0.24012463617404145,0.024454412928802592,0.19456210171611013,0.28853107467862615,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,33,0.05,0.43635157374567257,0.055755070459676384,0.31587041164000385,0.5301880058041729,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,6,0.05,0.2947917124115998,0.024665463332001147,0.24916688239472112,0.34486050403401336,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,16,0,0.2552287812666072,0.028257556936685274,0.20172015241982774,0.3086710502160366,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,9,0.5,0.34840080976598314,0.027602764468563273,0.2954906733413014,0.405032695250151,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,36,0.5,0.7842474089688741,0.03257980745325244,0.7160928472299609,0.8461228829559374,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,10,0.5,0.3469336539838258,0.02954003520851428,0.2889727788224143,0.4045735816940485,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,7,0.05,0.289225202877257,0.02442382636387343,0.241185020674056,0.3370213726064942,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,1,0.5,0.35923364650917583,0.023489242259748275,0.31381164293028624,0.4047988895768681,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,24,0.25,0.31301251474394653,0.046460956918272345,0.23032614488123607,0.41446939960783785,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,17,0.05,0.24521192293188945,0.025958621357436366,0.19883024656990775,0.29880306265223716,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,2,0.5,0.3576681737315864,0.02480902164696024,0.3103400880831398,0.4090408571459697,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,31,0,0.40420435720120923,0.04706122500114608,0.3269277198574063,0.4963542528045702,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,15,0,0.2607524130375926,0.02783944180919026,0.20645659498460942,0.3102273397547535,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,4,0.75,0.36964811437674455,0.027721796023463793,0.31903494004328475,0.42446243365779807,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,3,0.5,0.3566392605783746,0.023787393794124097,0.31290769790205764,0.4034752284176305,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,18,0.75,0.38379922063645316,0.03935476100893359,0.3126293132176382,0.4670384664699969,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,2,0.25,0.34229996794493445,0.020191366740306697,0.3006969381666531,0.3799525281128166,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,26,0.25,0.34214280956673376,0.05654590764251162,0.24080907462559792,0.46319247263857505,4
2.1821649114616256e-4,1493.5309389106112,8.209995444945747,104.51940102037725,20.236878023659703,0.1005986674206291,15,0.75,0.3759314621748338,0.035765194121146565,0.30979611692963666,0.4485838491221795,4
