sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,pdoug,sigma,mean_MNPV,sd,q1,q9,pset
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,4,1,0.4163249001567605,0.028994324557787332,0.36212044268247134,0.4740972558815615,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,10,0.5,0.37440267454041054,0.028934836123432534,0.31579086621588204,0.4298984805599306,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,12,0.5,0.3699322061311529,0.03034894402093201,0.3085178137290225,0.4298489484381622,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,14,0.5,0.36676464112513263,0.03192522364828942,0.30087437965789515,0.4294322656240576,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,11,0.5,0.3734546509638338,0.029401074651521905,0.31515079162088183,0.43144635255622543,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,19,0.5,0.35678552350455944,0.0366335207841182,0.28531634604365513,0.4309555125423626,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,17,0.5,0.36065412273002795,0.03445377150533742,0.2922879876689844,0.425329456375846,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,23,0.05,0.25715385568232785,0.040727482743699084,0.18929235832427138,0.3432848519896609,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,8,0.5,0.37955436808884335,0.02754330177593603,0.32324499630726566,0.43272600524688015,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,13,0.5,0.36858272950350324,0.03160241561432767,0.30488995199439245,0.42684161912659363,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,18,0.5,0.35923238124566903,0.03622083818489983,0.2889025570834558,0.4305971575331104,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,14,0.75,0.38957823610814046,0.031943377080663714,0.3283971049511049,0.45185595258621325,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,9,0.5,0.3760043120917982,0.027994536338328855,0.3200072031716953,0.43123015119794644,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,20,0.05,0.2827318798881462,0.035810646276313564,0.2169894216219026,0.3535047304731671,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,36,0.75,0.49124130651509645,0.11212990111006736,0.28806092937760963,0.7406771265192953,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,5,1,0.4148801888806107,0.029778524280827803,0.3615511780096,0.4754408734241237,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,15,0.5,0.3655793447948685,0.032608036925934336,0.2995555648832284,0.4288976017400733,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,22,0.05,0.26704293166868504,0.03921449024924039,0.19581132150154335,0.3469038698320838,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,2,1,0.41960917661149044,0.02884085517745858,0.36521445197893315,0.4817402102881392,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,6,1,0.41503433866426503,0.029470658832305496,0.3586246339081949,0.4729226303362586,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,34,0.75,0.44013068712643744,0.09236675841299762,0.28097699223750655,0.6445515595047282,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,21,0.5,0.3499444206663428,0.04008525801202342,0.27176730324351617,0.4273775381620025,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,3,1,0.417673985415963,0.028832529922129507,0.36161618068317974,0.4748995599689397,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,35,0.75,0.46612791976625984,0.10482570982224139,0.28521297955341784,0.6966307380833251,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,2,0,0.34509822421867126,0.02470629781152143,0.2976528170605765,0.3903991284030444,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,10,0.75,0.39578583745570645,0.02973186704018199,0.334836357327786,0.4510922191475564,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,21,0.05,0.27271841074747105,0.03759120708736942,0.20531626472762615,0.3499573207064517,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,12,1,0.4082361093241409,0.030769881518808502,0.3490257325895075,0.4738826675633269,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,23,0.5,0.34706014975395727,0.04182214257940395,0.26550534660142966,0.4253682154442302,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,16,0.5,0.3633992943326481,0.034820954478554496,0.29326373777300274,0.42904857108378613,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,1,1,0.4204780848017577,0.030000321469805993,0.3645289596512941,0.48220567622240273,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,20,0.5,0.35451373362508565,0.037891634479521256,0.2843836045419245,0.42703970537760505,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,24,0.5,0.3451308115898598,0.04333339536617996,0.26278314293852817,0.4291215879750967,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,12,0.75,0.392265363513637,0.03063668083702038,0.33177927317233324,0.4518769520830072,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,1,0,0.34848806151160455,0.02492357226091432,0.2988645823757355,0.39496402326474583,9
1.6796071767301e-4,294.06650792285546,0.26435377250257297,97.05675888329584,23.536961309409687,0.48993268575796023,26,0.5,0.3453680885111611,0.05104662962501609,0.24782124898883262,0.4461632262616626,9
