Species,Year,Column1,rep,pdoug,sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,sigma
S,1,0.7128578921267711,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,2,7.2690646804557115,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,3,40.604211286844475,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,4,20.208340553412576,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,5,2.321190929064928,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,6,0.2174016478549295,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,7,0.06068657215776145,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,8,0.01564489071777202,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,9,0.025985358589121647,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,10,0.27948833894530767,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,11,12.592338208851153,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,12,10.836622701165636,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,13,3.6415399452044195,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,14,2.2432610059677707,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,15,1.3043516334322838,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,16,2.1679806840559532,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,17,0.6670150126779525,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,18,3.5288986647113263,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,19,10.24363887379509,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,20,8.132972866929165,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,21,1.3380153359027367,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,22,0.35997987505094287,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,23,0.24843894075902825,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,24,0.6010269595312462,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,25,4.449281516569636,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,26,34.14727807542592,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,27,29.073465864289858,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,28,8.330573611213385,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,29,0.4947419561867067,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,30,0.10739115175158485,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,31,0.03864977685713875,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,32,0.06576316990704814,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,33,0.8792812978129758,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,34,33.33277746587302,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,35,24.522783370132593,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,36,4.777595963119117,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,37,1.5522886850669932,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,38,1.0757016534154296,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,39,0.6918963599292958,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,40,1.2692335073944556,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,41,1.0946573839391436,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,42,35.792622810062774,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,43,19.79626602112161,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,44,2.1783208479167384,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,45,0.3423881871510651,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,46,0.16538634592904727,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,47,0.1538122816521481,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,48,0.46026711884352706,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,49,2.788017825881194,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,50,16.43058047503478,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,51,3.8956553496648096,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,52,1.7074644357056932,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,53,0.8348282606237911,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,54,0.49130753453165066,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,55,0.8510662008192188,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,56,8.486877614137498,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,57,60.54581661936855,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,58,18.507478856949454,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,59,1.3836943230357013,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,60,0.19050260676751743,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,61,0.02648127471752383,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,62,0.007366140607299341,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,63,0.00557024500608397,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,64,0.02774829077202708,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,65,1.539342119619344,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,66,77.43474108221285,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,67,10.382075111288609,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,68,2.557068055020936,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,69,1.382329253906528,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,70,2.936047801930537,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,71,1.1023448509400386,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,72,0.19049004529159963,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,73,0.09964264449489078,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,74,0.5290286965022799,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,75,11.881590843284805,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,76,68.4693379169805,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,77,12.01583645520523,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,78,1.141545244129883,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,79,0.28191923125421475,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,80,0.059740917585801266,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,81,0.011282490577772829,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,82,0.00335497723351215,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,83,0.013681935673589402,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,84,1.4124953174033146,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,85,72.58478169273722,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,86,20.10612782860214,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,87,4.928649458890229,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,88,1.4692936628090165,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,89,0.5702191664014088,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,90,0.13925061401860941,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,91,0.03855089262143839,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,92,0.02883203342970615,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,93,0.10208182940629593,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,94,1.9665673368328775,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,95,49.289214699739354,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,96,18.66206646500945,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,97,3.7832523033240664,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,98,0.82467837017926,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,99,0.0635782812747328,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,100,0.03669346313055324,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,101,0.01754097279943663,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,102,0.06560082591583974,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,103,2.0191076313692267,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,104,25.368293887196728,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,105,8.828282356398875,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,106,1.5894949078444276,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,107,0.4008117774664107,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,108,0.6761772692252433,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,109,3.8010589318390933,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,110,1.5829939538353952,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,111,4.930423372178248,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,112,31.761181682383857,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,113,6.897603916838804,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,114,1.4639186783205362,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,115,0.5221855153948944,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,116,0.19036525590352568,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,117,0.05621503456384871,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,118,0.7869326136343561,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,119,20.753045871845746,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,120,22.047308061336125,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,121,3.0229517066713076,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,122,0.52951514297053,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,123,0.13878449360902137,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,124,0.09983846468841402,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,125,0.23848278993352878,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,126,6.502663262848589,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,127,16.450234893372574,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,128,8.46333187326269,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,129,2.7615621635552765,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,130,0.727664314384959,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,131,0.3031087767104174,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,132,0.17081563556427493,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,133,1.9440900820266247,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,134,14.771141594574669,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,135,9.478380358730044,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,136,0.9644868185589417,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,137,0.36716560366346335,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
S,138,0.1124525411118181,1,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
