LL,id,quality,rep,pdoug,extinct_S,extinct_M,mean_pMNPV,sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,sigma
0,0,1,1,2,0,0,0.8038605746692921,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
0,0,1,2,2,0,0,0.8050580249790423,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
0,0,1,3,2,0,0,0.8561416810329646,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
0,0,1,4,2,0,0,0.8517847905124731,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
0,0,1,5,2,0,0,0.8120013480858401,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
0,0,1,6,2,0,0,0.856417399544978,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
0,0,1,7,2,0,0,0.8340354230954431,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
0,0,1,8,2,0,0,0.8437751394364938,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
0,0,0,9,2,0,0,0.8516275909781987,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
0,0,1,10,2,0,0,0.8300701858326549,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
