collection_date,site,latitude,longitude,state,sprayed,total,infected,MNPV,SNPV,coinfections,unidentified_npv,year
5/28/19,MO19,48.59693911,-120.4465924,WA,TRUE,104,0,NA,NA,NA,NA,2019
6/4/19,MO19,48.59693911,-120.4465924,WA,TRUE,100,2,0,0,0,2,2019
6/5/19,MCWB20,47.292744488333334,-120.7046805,WA,TRUE,103,3,1,0,0,2,2019
6/6/19,JMUP30,47.4336399,-120.6579384,WA,TRUE,53,3,0,1,0,2,2019
6/6/19,JMUP33,47.44248228555555,-120.664127,WA,FALSE,97,3,0,3,0,0,2019
6/6/19,LIBR,47.27907185,-120.67015,WA,FALSE,51,0,NA,NA,NA,NA,2019
6/6/19,MCWB26,47.299703343333334,-120.7113427,WA,FALSE,105,6,1,2,0,3,2019
6/6/19,RUBY,47.42774008,-120.629015,WA,FALSE,79,2,0,2,0,0,2019
6/7/19,PCUP23,47.37990554,-120.6517451,WA,FALSE,8,0,NA,NA,NA,NA,2019
6/7/19,PCUP24,47.38564521333333,-120.658863,WA,FALSE,11,0,NA,NA,NA,NA,2019
6/7/19,UP11,47.37028018,-120.5858603,WA,TRUE,3,1,0,1,0,0,2019
6/7/19,UP17,47.39688245,-120.6205389,WA,TRUE,9,2,0,2,0,0,2019
6/7/19,WFWB49,47.325779690000005,-120.6916486,WA,FALSE,1,0,NA,NA,NA,NA,2019
6/7/19,WFWB51,47.33149544,-120.6933102,WA,FALSE,3,0,NA,NA,NA,NA,2019
6/7/19,WFWB52,47.33407367428571,-120.6983079,WA,FALSE,6,0,NA,NA,NA,NA,2019
6/10/19,MO19,48.59693911,-120.4465924,WA,TRUE,66,4,0,1,0,3,2019
6/11/19,BLUE40,47.29751348,-120.7475853,WA,TRUE,25,0,NA,NA,NA,NA,2019
6/11/19,BLUE41,47.30440466,-120.7345203,WA,TRUE,99,1,1,1,1,0,2019
6/11/19,BLUE42,47.30389075,-120.7240332,WA,TRUE,46,1,1,1,1,0,2019
6/11/19,BLUE43,47.30843308666667,-120.7341319,WA,FALSE,78,1,0,1,0,0,2019
6/11/19,LIBR,47.27907185,-120.67015,WA,FALSE,50,5,3,4,2,0,2019
6/11/19,MCWB20,47.292744488333334,-120.7046805,WA,TRUE,105,14,8,5,3,4,2019
6/11/19,MCWB26,47.299703343333334,-120.7113427,WA,FALSE,105,9,2,2,1,6,2019
6/12/19,JMUP30,47.4336399,-120.6579384,WA,TRUE,60,7,3,4,1,1,2019
6/12/19,JMUP33,47.44248228555555,-120.664127,WA,FALSE,31,4,3,0,0,1,2019
6/12/19,RUBY,47.42774008,-120.629015,WA,FALSE,63,14,2,12,1,1,2019
6/13/19,WFWB49,47.325779690000005,-120.6916486,WA,FALSE,2,0,NA,NA,NA,NA,2019
6/13/19,WFWB51,47.33149544,-120.6933102,WA,FALSE,3,0,NA,NA,NA,NA,2019
6/13/19,WFWB52,47.33407367428571,-120.6983079,WA,FALSE,25,2,0,0,0,2,2019
6/15/19,CRA3,43.47239512,-113.566672,ID,FALSE,99,6,2,3,1,2,2019
6/15/19,PAJ3,44.25232389,-116.0491843,ID,FALSE,56,5,1,2,0,2,2019
6/15/19,SHCA,44.33403556,-116.1789054,ID,FALSE,52,6,1,5,0,0,2019
6/15/19,SHDO,44.33704778,-116.1789769,ID,FALSE,48,7,0,7,0,0,2019
6/15/19,TAMA,44.38744922,-116.2111798,ID,FALSE,52,11,4,5,0,2,2019
6/18/19,BLUE41,47.30440466,-120.7345203,WA,TRUE,69,5,3,0,0,2,2019
6/18/19,BLUE43,47.30843308666667,-120.7341319,WA,FALSE,100,8,3,0,0,5,2019
6/18/19,JMUP30,47.4336399,-120.6579384,WA,TRUE,48,13,8,1,0,4,2019
6/18/19,MCWB20,47.292744488333334,-120.7046805,WA,TRUE,58,22,16,0,0,6,2019
6/18/19,MCWB26,47.299703343333334,-120.7113427,WA,FALSE,49,11,6,1,0,4,2019
6/18/19,MO19,48.59693911,-120.4465924,WA,TRUE,54,9,3,5,0,1,2019
6/19/19,JMUP33,47.44248228555555,-120.664127,WA,FALSE,13,3,1,1,0,1,2019
6/19/19,RUBY,47.42774008,-120.629015,WA,FALSE,52,3,0,3,0,0,2019
6/19/19,UP17,47.39688245,-120.6205389,WA,TRUE,7,3,2,0,0,1,2019
6/20/19,LIBR,47.27907185,-120.67015,WA,FALSE,52,11,1,1,0,9,2019
6/24/19,CRA3,43.47239512,-113.566672,ID,FALSE,77,3,1,1,0,1,2019
6/24/19,MO19,48.59693911,-120.4465924,WA,TRUE,52,10,9,0,0,1,2019
6/24/19,PAJ3,44.25232389,-116.0491843,ID,FALSE,91,5,2,0,0,3,2019
6/24/19,SHCA,44.33403556,-116.1789054,ID,FALSE,60,16,4,9,0,3,2019
6/24/19,SHDO,44.33704778,-116.1789769,ID,FALSE,61,11,2,8,1,2,2019
6/24/19,TAMA,44.38744922,-116.2111798,ID,FALSE,62,22,3,17,1,3,2019
6/25/19,JMUP30,47.4336399,-120.6579384,WA,TRUE,36,12,11,2,2,1,2019
6/25/19,JMUP33,47.44248228555555,-120.664127,WA,FALSE,27,20,15,0,0,5,2019
6/25/19,RUBY,47.42774008,-120.629015,WA,FALSE,52,14,1,7,0,6,2019
6/26/19,UP17,47.39688245,-120.6205389,WA,TRUE,21,5,0,0,0,5,2019
6/27/19,BLUE41,47.30440466,-120.7345203,WA,TRUE,49,3,2,0,0,1,2019
6/27/19,BLUE43,47.30843308666667,-120.7341319,WA,FALSE,105,8,0,3,0,5,2019
6/27/19,LIBR,47.27907185,-120.67015,WA,FALSE,19,2,1,0,0,1,2019
6/27/19,MCWB20,47.292744488333334,-120.7046805,WA,TRUE,66,37,33,0,0,4,2019
6/27/19,MCWB26,47.299703343333334,-120.7113427,WA,FALSE,49,2,1,1,0,0,2019
6/27/19,WFWB52,47.33407367428571,-120.6983079,WA,FALSE,18,3,0,0,0,3,2019
7/1/19,JMUP30,47.4336399,-120.6579384,WA,TRUE,53,29,22,0,0,7,2019
7/1/19,JMUP33,47.44248228555555,-120.664127,WA,FALSE,21,14,9,0,0,5,2019
7/1/19,MO19,48.59693911,-120.4465924,WA,TRUE,54,18,17,0,0,1,2019
7/1/19,RUBY,47.42774008,-120.629015,WA,FALSE,53,37,2,30,1,6,2019
7/1/19,UP17,47.39688245,-120.6205389,WA,TRUE,63,14,5,2,0,7,2019
7/2/19,CRA3,43.47239512,-113.566672,ID,FALSE,51,10,10,0,0,0,2019
7/2/19,PAJ3,44.25232389,-116.0491843,ID,FALSE,51,8,6,0,0,2,2019
7/2/19,SHCA,44.33403556,-116.1789054,ID,FALSE,50,15,8,6,3,4,2019
7/2/19,SHDO,44.33704778,-116.1789769,ID,FALSE,52,12,3,4,0,5,2019
7/2/19,TAMA,44.38744922,-116.2111798,ID,FALSE,54,24,11,12,4,5,2019
7/3/19,BLUE41,47.30440466,-120.7345203,WA,TRUE,104,23,21,1,0,1,2019
7/3/19,BLUE43,47.30843308666667,-120.7341319,WA,FALSE,78,15,3,8,2,6,2019
7/3/19,LIBR,47.27907185,-120.67015,WA,FALSE,62,21,5,1,0,15,2019
7/3/19,MCWB20,47.292744488333334,-120.7046805,WA,TRUE,100,52,42,3,1,8,2019
7/3/19,MCWB26,47.299703343333334,-120.7113427,WA,FALSE,59,8,5,0,0,3,2019
7/3/19,WFWB52,47.33407367428571,-120.6983079,WA,FALSE,18,2,1,0,0,1,2019
7/8/19,MO19,48.59693911,-120.4465924,WA,TRUE,52,3,2,0,0,1,2019
7/10/19,JMUP30,47.4336399,-120.6579384,WA,TRUE,45,18,9,6,0,3,2019
7/10/19,JMUP33,47.44248228555555,-120.664127,WA,FALSE,6,3,2,0,0,1,2019
7/10/19,RUBY,47.42774008,-120.629015,WA,FALSE,48,33,2,28,2,5,2019
7/10/19,UP17,47.39688245,-120.6205389,WA,TRUE,69,22,5,5,0,12,2019
7/11/19,BLUE41,47.30440466,-120.7345203,WA,TRUE,79,38,36,3,1,0,2019
7/11/19,BLUE43,47.30843308666667,-120.7341319,WA,FALSE,92,47,38,4,2,7,2019
7/11/19,LIBR,47.27907185,-120.67015,WA,FALSE,45,22,14,4,2,6,2019
7/11/19,MCWB20,47.292744488333334,-120.7046805,WA,TRUE,90,72,65,2,1,6,2019
7/11/19,MCWB26,47.299703343333334,-120.7113427,WA,FALSE,61,20,18,0,0,2,2019
7/11/19,WFWB52,47.33407367428571,-120.6983079,WA,FALSE,16,6,5,0,0,1,2019
7/12/19,PAJ3,44.25232389,-116.0491843,ID,FALSE,55,5,1,4,0,0,2019
7/12/19,SHDO,44.33704778,-116.1789769,ID,FALSE,50,12,5,9,3,1,2019
7/12/19,TAMA,44.38744922,-116.2111798,ID,FALSE,48,21,9,15,4,1,2019
7/13/19,CRA3,43.47239512,-113.566672,ID,FALSE,150,14,9,0,0,5,2019
7/15/19,MO19,48.59693911,-120.4465924,WA,TRUE,52,24,23,0,0,1,2019
7/16/19,JMUP30,47.4336399,-120.6579384,WA,TRUE,36,22,20,4,3,1,2019
7/16/19,JMUP33,47.44248228555555,-120.664127,WA,FALSE,6,3,3,0,0,0,2019
7/16/19,RUBY,47.42774008,-120.629015,WA,FALSE,55,44,3,42,3,2,2019
7/16/19,UP17,47.39688245,-120.6205389,WA,TRUE,62,17,12,8,4,1,2019
7/18/19,BLUE41,47.30440466,-120.7345203,WA,TRUE,54,19,16,3,1,1,2019
7/18/19,BLUE43,47.30843308666667,-120.7341319,WA,FALSE,76,17,4,4,1,10,2019
7/18/19,LIBR,47.27907185,-120.67015,WA,FALSE,25,7,5,4,2,0,2019
7/18/19,MCWB20,47.292744488333334,-120.7046805,WA,TRUE,52,42,39,5,3,1,2019
7/18/19,MCWB26,47.299703343333334,-120.7113427,WA,FALSE,47,10,4,1,0,5,2019
7/18/19,WFWB52,47.33407367428571,-120.6983079,WA,FALSE,2,0,NA,NA,NA,NA,2019
7/22/19,JMUP30,47.4336399,-120.6579384,WA,TRUE,18,8,7,2,1,0,2019
