morphotype,strain,dose,date,day,alive,dead_early,second,virus,dead
MNPV,H07,100,24-Feb,6,NA,NA,NA,NA,0
MNPV,H07,100,25-Feb,7,NA,NA,NA,NA,0
MNPV,H07,100,26-Feb,8,135,0,56,9,0
MNPV,H07,100,27-Feb,9,90,0,4,41,0
MNPV,H07,100,28-Feb,10,59,0,2,29,0
MNPV,H07,100,29-Feb,11,43,0,0,16,0
MNPV,H07,100,1-Mar,12,25,0,0,18,0
MNPV,H07,100,2-Mar,13,10,0,0,15,0
MNPV,H07,100,3-Mar,14,4,0,0,6,0
MNPV,H07,100,4-Mar,15,2,0,0,2,0
MNPV,H07,1000,24-Feb,6,NA,NA,NA,NA,0
MNPV,H07,1000,25-Feb,7,178,5,8,0,0
MNPV,H07,1000,26-Feb,8,146,0,7,25,0
MNPV,H07,1000,27-Feb,9,100,0,1,45,0
MNPV,H07,1000,28-Feb,10,50,0,0,50,0
MNPV,H07,1000,29-Feb,11,23,0,0,27,0
MNPV,H07,1000,1-Mar,12,9,0,0,12,2
MNPV,H07,1000,2-Mar,13,2,0,0,7,0
MNPV,H07,1000,3-Mar,14,0,0,0,2,0
MNPV,H07,1000,4-Mar,15,0,0,0,0,0
MNPV,H07,3000,24-Feb,6,199,0,1,0,0
MNPV,H07,3000,25-Feb,7,NA,NA,NA,NA,0
MNPV,H07,3000,26-Feb,8,161,0,2,36,0
MNPV,H07,3000,27-Feb,9,92,0,0,69,0
MNPV,H07,3000,28-Feb,10,38,0,1,53,0
MNPV,H07,3000,29-Feb,11,11,0,0,27,0
MNPV,H07,3000,1-Mar,12,7,0,0,4,0
MNPV,H07,3000,2-Mar,13,3,0,0,4,0
MNPV,H07,3000,3-Mar,14,1,0,0,2,0
MNPV,H07,3000,4-Mar,15,0,0,0,1,0
MNPV,H07,10000,24-Feb,6,185,15,0,0,0
MNPV,H07,10000,25-Feb,7,NA,NA,NA,NA,0
MNPV,H07,10000,26-Feb,8,53,0,0,132,0
MNPV,H07,10000,27-Feb,9,9,0,0,44,0
MNPV,H07,10000,28-Feb,10,2,0,0,7,0
MNPV,H07,10000,29-Feb,11,0,0,,2,0
MNPV,H07,10000,1-Mar,12,0,0,0,0,0
MNPV,H07,10000,2-Mar,13,0,0,0,0,0
MNPV,H07,10000,3-Mar,14,0,0,,0,0
MNPV,H07,10000,4-Mar,15,0,0,0,0,0
None,H20,0,24-Feb,6,NA,NA,NA,NA,0
None,H20,0,25-Feb,7,NA,NA,NA,NA,0
None,H20,0,26-Feb,8,100,0,135,0,0
None,H20,0,27-Feb,9,56,0,43,0,1
None,H20,0,28-Feb,10,40,0,16,0,0
None,H20,0,29-Feb,11,28,0,12,0,0
None,H20,0,1-Mar,12,16,0,12,0,0
None,H20,0,2-Mar,13,13,0,3,0,0
None,H20,0,3-Mar,14,6,0,7,0,0
None,H20,0,4-Mar,15,3,0,2,0,1
SNPV,A12,100,24-Feb,6,NA,NA,NA,NA,0
SNPV,A12,100,25-Feb,7,NA,NA,NA,NA,0
SNPV,A12,100,26-Feb,8,149,0,8,43,0
SNPV,A12,100,27-Feb,9,78,0,2,69,0
SNPV,A12,100,28-Feb,10,40,0,0,38,0
SNPV,A12,100,29-Feb,11,22,0,0,18,0
SNPV,A12,100,1-Mar,12,11,0,0,11,0
SNPV,A12,100,2-Mar,13,7,0,0,4,0
SNPV,A12,100,3-Mar,14,2,0,0,5,0
SNPV,A12,100,4-Mar,15,0,0,0,2,0
SNPV,A12,1000,24-Feb,6,NA,NA,NA,NA,0
SNPV,A12,1000,25-Feb,7,117,83,0,0,0
SNPV,A12,1000,26-Feb,8,33,0,0,84,0
SNPV,A12,1000,27-Feb,9,11,0,0,22,0
SNPV,A12,1000,28-Feb,10,2,0,0,9,0
SNPV,A12,1000,29-Feb,11,1,0,0,1,0
SNPV,A12,1000,1-Mar,12,0,0,0,1,0
SNPV,A12,1000,2-Mar,13,0,0,0,0,0
SNPV,A12,1000,3-Mar,14,0,0,0,0,0
SNPV,A12,1000,4-Mar,15,0,0,0,0,0
SNPV,A12,3000,24-Feb,6,108,52,0,0,0
SNPV,A12,3000,25-Feb,7,NA,NA,NA,NA,0
SNPV,A12,3000,26-Feb,8,8,0,0,100,0
SNPV,A12,3000,27-Feb,9,1,0,0,7,0
SNPV,A12,3000,28-Feb,10,0,0,0,1,0
SNPV,A12,3000,29-Feb,11,0,0,0,0,0
SNPV,A12,3000,1-Mar,12,0,0,0,0,0
SNPV,A12,3000,2-Mar,13,0,0,0,0,0
SNPV,A12,3000,3-Mar,14,0,0,0,0,0
SNPV,A12,3000,4-Mar,15,0,0,0,0,0
SNPV,A12,10000,24-Feb,6,21,79,0,0,0
SNPV,A12,10000,25-Feb,7,NA,NA,NA,NA,0
SNPV,A12,10000,26-Feb,8,0,0,0,21,0
SNPV,A12,10000,27-Feb,9,0,0,0,0,0
SNPV,A12,10000,28-Feb,10,0,0,0,0,0
SNPV,A12,10000,29-Feb,11,0,0,0,0,0
SNPV,A12,10000,1-Mar,12,0,0,0,0,0
SNPV,A12,10000,2-Mar,13,0,0,0,0,0
SNPV,A12,10000,3-Mar,14,0,0,0,0,0
SNPV,A12,10000,4-Mar,15,0,0,0,0,0
