strain,dose,day,alive,dead_early,virus,second,dead,start,morphotype
COL,50,5,9,1,0,0,0,10,SNPV
COL,50,6,9,0,0,0,0,10,SNPV
COL,50,7,9,0,0,0,0,10,SNPV
COL,50,8,3,0,6,0,0,10,SNPV
COL,50,9,1,0,2,0,0,10,SNPV
COL,50,10,0,0,1,0,0,10,SNPV
COL,50,11,0,0,0,0,0,10,SNPV
COL,50,12,0,0,0,0,0,10,SNPV
COL,50,13,0,0,0,0,0,10,SNPV
COL,50,14,0,0,0,0,0,10,SNPV
COL,50,15,0,0,0,0,0,10,SNPV
COL,100,5,7,2,0,0,0,9,SNPV
COL,100,6,7,0,0,0,0,9,SNPV
COL,100,7,6,0,1,0,0,9,SNPV
COL,100,8,4,0,0,2,0,9,SNPV
COL,100,9,3,0,0,0,1,9,SNPV
COL,100,10,2,0,0,0,1,9,SNPV
COL,100,11,1,0,1,0,0,9,SNPV
COL,100,12,0,0,0,0,1,9,SNPV
COL,100,13,0,0,0,0,0,9,SNPV
COL,100,14,0,0,0,0,0,9,SNPV
COL,100,15,0,0,0,0,0,9,SNPV
COL,500,5,9,1,0,0,0,10,SNPV
COL,500,6,8,0,1,0,0,10,SNPV
COL,500,7,3,0,5,0,0,10,SNPV
COL,500,8,0,0,3,0,0,10,SNPV
COL,500,9,0,0,0,0,0,10,SNPV
COL,500,10,0,0,0,0,0,10,SNPV
COL,500,11,0,0,0,0,0,10,SNPV
COL,500,12,0,0,0,0,0,10,SNPV
COL,500,13,0,0,0,0,0,10,SNPV
COL,500,14,0,0,0,0,0,10,SNPV
COL,500,15,0,0,0,0,0,10,SNPV
COL,1000,5,1,7,1,0,0,9,SNPV
COL,1000,6,1,0,0,0,0,9,SNPV
COL,1000,7,0,0,1,0,0,9,SNPV
COL,1000,8,0,0,0,0,0,9,SNPV
COL,1000,9,0,0,0,0,0,9,SNPV
COL,1000,10,0,0,0,0,0,9,SNPV
COL,1000,11,0,0,0,0,0,9,SNPV
COL,1000,12,0,0,0,0,0,9,SNPV
COL,1000,13,0,0,0,0,0,9,SNPV
COL,1000,14,0,0,0,0,0,9,SNPV
COL,1000,15,0,0,0,0,0,9,SNPV
CTRL,0,5,4,0,0,0,5,9,None
CTRL,0,6,4,0,0,0,0,9,None
CTRL,0,7,4,0,0,0,0,9,None
CTRL,0,8,1,0,0,2,1,9,None
CTRL,0,9,0,0,0,0,1,9,None
CTRL,0,10,0,0,0,0,0,9,None
CTRL,0,11,0,0,0,0,0,9,None
CTRL,0,12,0,0,0,0,0,9,None
CTRL,0,13,0,0,0,0,0,9,None
CTRL,0,14,0,0,0,0,0,9,None
CTRL,0,15,0,0,0,0,0,9,None
H07,300,5,9,0,0,0,1,10,MNPV
H07,300,6,8,0,0,0,1,10,MNPV
H07,300,7,7,0,0,0,1,10,MNPV
H07,300,8,7,0,0,0,0,10,MNPV
H07,300,9,6,0,1,0,0,10,MNPV
H07,300,10,3,0,2,0,1,10,MNPV
H07,300,11,1,0,2,0,0,10,MNPV
H07,300,12,0,0,1,0,0,10,MNPV
H07,300,13,0,0,0,0,0,10,MNPV
H07,300,14,0,0,0,0,0,10,MNPV
H07,300,15,0,0,0,0,0,10,MNPV
H07,1000,5,9,0,0,0,1,10,MNPV
H07,1000,6,9,0,0,0,0,10,MNPV
H07,1000,7,9,0,0,0,0,10,MNPV
H07,1000,8,8,0,1,0,0,10,MNPV
H07,1000,9,0,0,8,0,0,10,MNPV
H07,1000,10,0,0,0,0,0,10,MNPV
H07,1000,11,0,0,0,0,0,10,MNPV
H07,1000,12,0,0,0,0,0,10,MNPV
H07,1000,13,0,0,0,0,0,10,MNPV
H07,1000,14,0,0,0,0,0,10,MNPV
H07,1000,15,0,0,0,0,0,10,MNPV
H07,2000,5,9,0,0,0,0,9,MNPV
H07,2000,6,9,0,0,0,0,9,MNPV
H07,2000,7,8,0,0,0,1,9,MNPV
H07,2000,8,7,0,1,0,0,9,MNPV
H07,2000,9,2,0,5,0,0,9,MNPV
H07,2000,10,1,0,1,0,0,9,MNPV
H07,2000,11,0,0,1,0,0,9,MNPV
H07,2000,12,0,0,0,0,0,9,MNPV
H07,2000,13,0,0,0,0,0,9,MNPV
H07,2000,14,0,0,0,0,0,9,MNPV
H07,2000,15,0,0,0,0,0,9,MNPV
H07,3000,5,9,0,0,0,0,9,MNPV
H07,3000,6,7,0,0,0,2,9,MNPV
H07,3000,7,7,0,0,0,0,9,MNPV
H07,3000,8,5,0,2,0,0,9,MNPV
H07,3000,9,2,0,3,0,0,9,MNPV
H07,3000,10,1,0,1,0,0,9,MNPV
H07,3000,11,0,0,1,0,0,9,MNPV
H07,3000,12,0,0,0,0,0,9,MNPV
H07,3000,13,0,0,0,0,0,9,MNPV
H07,3000,14,0,0,0,0,0,9,MNPV
H07,3000,15,0,0,0,0,0,9,MNPV
KLP,1000,5,9,0,1,0,0,10,MNPV
KLP,1000,6,9,0,0,0,0,10,MNPV
KLP,1000,7,9,0,0,0,0,10,MNPV
KLP,1000,8,9,0,0,0,0,10,MNPV
KLP,1000,9,4,0,5,0,0,10,MNPV
KLP,1000,10,2,0,2,0,0,10,MNPV
KLP,1000,11,0,0,2,0,0,10,MNPV
KLP,1000,12,0,0,0,0,0,10,MNPV
KLP,1000,13,0,0,0,0,0,10,MNPV
KLP,1000,14,0,0,0,0,0,10,MNPV
KLP,1000,15,0,0,0,0,0,10,MNPV
KLP,2000,5,10,0,0,0,0,10,MNPV
KLP,2000,6,10,0,0,0,0,10,MNPV
KLP,2000,7,10,0,0,0,0,10,MNPV
KLP,2000,8,10,0,0,0,0,10,MNPV
KLP,2000,9,6,0,4,0,0,10,MNPV
KLP,2000,10,2,0,4,0,0,10,MNPV
KLP,2000,11,1,0,1,0,0,10,MNPV
KLP,2000,12,0,0,1,0,0,10,MNPV
KLP,2000,13,0,0,0,0,0,10,MNPV
KLP,2000,14,0,0,0,0,0,10,MNPV
KLP,2000,15,0,0,0,0,0,10,MNPV
KLP,3000,5,10,0,0,0,0,10,MNPV
KLP,3000,6,10,0,0,0,0,10,MNPV
KLP,3000,7,10,0,0,0,0,10,MNPV
KLP,3000,8,9,0,1,0,0,10,MNPV
KLP,3000,9,5,0,4,0,0,10,MNPV
KLP,3000,10,1,0,4,0,0,10,MNPV
KLP,3000,11,0,0,1,0,0,10,MNPV
KLP,3000,12,0,0,0,0,0,10,MNPV
KLP,3000,13,0,0,0,0,0,10,MNPV
KLP,3000,14,0,0,0,0,0,10,MNPV
KLP,3000,15,0,0,0,0,0,10,MNPV
LST,50,5,9,0,0,0,1,10,SNPV
LST,50,6,9,0,0,0,0,10,SNPV
LST,50,7,9,0,0,0,0,10,SNPV
LST,50,8,8,0,1,0,0,10,SNPV
LST,50,9,6,0,2,0,0,10,SNPV
LST,50,10,6,0,0,0,0,10,SNPV
LST,50,11,6,0,0,0,0,10,SNPV
LST,50,12,1,0,5,0,0,10,SNPV
LST,50,13,1,0,0,0,0,10,SNPV
LST,50,14,1,0,0,0,0,10,SNPV
LST,50,15,0,0,1,0,0,10,SNPV
LST,100,5,10,0,0,0,0,10,SNPV
LST,100,6,9,0,0,0,1,10,SNPV
LST,100,7,9,0,0,0,0,10,SNPV
LST,100,8,7,0,2,0,0,10,SNPV
LST,100,9,4,0,2,1,0,10,SNPV
LST,100,10,4,0,0,0,0,10,SNPV
LST,100,11,4,0,0,0,0,10,SNPV
LST,100,12,0,0,4,0,0,10,SNPV
LST,100,13,0,0,0,0,0,10,SNPV
LST,100,14,0,0,0,0,0,10,SNPV
LST,100,15,0,0,0,0,0,10,SNPV
LST,500,5,10,0,0,0,0,10,SNPV
LST,500,6,10,0,0,0,0,10,SNPV
LST,500,7,7,0,3,0,0,10,SNPV
