model,mean,sd,se_mean,X25.,X75.,X2.5.,X97.5.,params,level,morph,tree,isolate,param,mod_names,desc
0,0.005522595,0.002041705,1.51e-5,0.004089049,0.00646054,0.002895331,0.010712633,nu_bar,grand,NA,NA,NA,nu,mod0,no isolates
0,3.123356088,0.795065932,0.005815958,2.608517955,3.677246111,1.463195998,4.602720945,C,grand,NA,NA,NA,C,mod0,no isolates
1,0.006314122,0.002594318,1.95e-5,0.004530884,0.007660029,0.00238405,0.012575261,mu,grand,NA,NA,NA,nu,mod1,no morphotype
1,3.071279456,0.626807639,0.00532482,2.652456473,3.52102849,1.771539042,4.199951843,muC,grand,NA,NA,NA,C,mod1,no morphotype
1,0.006284933,0.003647358,2.05e-5,0.003826609,0.007787795,0.001805473,0.01562526,nu_bar[1],isolate,1,NA,1,nu,mod1,no morphotype
1,0.008259375,0.004447282,2.94e-5,0.005260542,0.010082244,0.002856961,0.019699243,nu_bar[2],isolate,2,NA,2,nu,mod1,no morphotype
1,0.00432062,0.00311263,1.64e-5,0.002146979,0.005616408,7.62e-4,0.012340913,nu_bar[3],isolate,3,NA,3,nu,mod1,no morphotype
1,0.009564996,0.004944299,3.26e-5,0.006193922,0.011639923,0.003484668,0.022323282,nu_bar[4],isolate,4,NA,4,nu,mod1,no morphotype
1,0.009641525,0.004615241,3.13e-5,0.006564508,0.011475833,0.004045933,0.021455402,nu_bar[5],isolate,5,NA,5,nu,mod1,no morphotype
1,0.00405955,0.003237706,1.64e-5,0.001821851,0.005353936,5.49e-4,0.012480614,nu_bar[6],isolate,6,NA,6,nu,mod1,no morphotype
1,0.002992432,0.002504308,1.24e-5,0.001285566,0.003932082,4.01e-4,0.009644151,nu_bar[7],isolate,7,NA,7,nu,mod1,no morphotype
1,0.003757405,0.003270582,1.63e-5,0.001445296,0.005106935,3.17e-4,0.012289425,nu_bar[8],isolate,8,NA,8,nu,mod1,no morphotype
1,0.007825758,0.004485804,2.9e-5,0.004781317,0.009661565,0.002452059,0.01933936,nu_bar[9],isolate,9,NA,9,nu,mod1,no morphotype
1,0.008530992,0.004666101,2.98e-5,0.005334658,0.010459325,0.002827074,0.020596792,nu_bar[10],isolate,10,NA,10,nu,mod1,no morphotype
1,2.958978461,0.958664172,0.006305555,2.331349289,3.657546481,0.892226467,4.64296351,C[1],isolate,1,NA,1,C,mod1,no morphotype
1,2.882688757,0.958268838,0.006476058,2.255382148,3.573460687,0.82028226,4.58654365,C[2],isolate,2,NA,2,C,mod1,no morphotype
1,3.326016373,0.924143032,0.006040048,2.733866497,4.018298689,1.278568939,4.832739887,C[3],isolate,3,NA,3,C,mod1,no morphotype
1,2.992357235,0.847292486,0.005686577,2.44385583,3.582990588,1.201890418,4.548096309,C[4],isolate,4,NA,4,C,mod1,no morphotype
1,2.530976437,0.961788908,0.006772151,1.878200011,3.225809729,0.557582119,4.297878973,C[5],isolate,5,NA,5,C,mod1,no morphotype
1,3.226175664,0.94495044,0.006134957,2.61706171,3.925468183,1.154540915,4.806483584,C[6],isolate,6,NA,6,C,mod1,no morphotype
1,3.331745305,0.940002189,0.006010458,2.733750338,4.039391364,1.23378685,4.847468045,C[7],isolate,7,NA,7,C,mod1,no morphotype
1,3.293731425,0.939309284,0.006034551,2.698210968,3.995839444,1.209212082,4.832821399,C[8],isolate,8,NA,8,C,mod1,no morphotype
1,3.082815252,0.89754695,0.006185864,2.509726277,3.727105891,1.148762892,4.668064835,C[9],isolate,9,NA,9,C,mod1,no morphotype
1,3.068707075,0.888690982,0.005912729,2.494769243,3.705928697,1.16795417,4.649521661,C[10],isolate,10,NA,10,C,mod1,no morphotype
3,0.005881062,0.00363886,2.37e-5,0.003285032,0.007784905,6.88e-4,0.014744773,mu_S,grand,SNPV,NA,NA,nu,mod33,nu and C vary by morph
3,3.433647151,0.667493253,0.005196974,3.00845087,3.919003984,1.984139534,4.570998192,muC_S,grand,SNPV,NA,NA,C,mod33,nu and C vary by morph
3,0.004260881,0.004002525,2.34e-5,0.001707667,0.005470695,5.06e-4,0.014957461,nu_bar_S[1],isolate,SNPV,NA,6,nu,mod33,nu and C vary by morph
3,0.002940641,0.002710197,1.5e-5,0.001214263,0.003747422,3.8e-4,0.01021571,nu_bar_S[2],isolate,SNPV,NA,7,nu,mod33,nu and C vary by morph
3,0.003879474,0.004077516,2.28e-5,0.001296093,0.004977935,2.78e-4,0.014776945,nu_bar_S[3],isolate,SNPV,NA,8,nu,mod33,nu and C vary by morph
3,0.009500247,0.006854768,4.93e-5,0.005055228,0.01172683,0.002409665,0.027660705,nu_bar_S[4],isolate,SNPV,NA,9,nu,mod33,nu and C vary by morph
3,0.010552933,0.007400574,5.2e-5,0.005736275,0.013057306,0.00277734,0.029633387,nu_bar_S[5],isolate,SNPV,NA,10,nu,mod33,nu and C vary by morph
3,3.496962621,0.922476721,0.006190944,2.941773349,4.195719071,1.352493509,4.88261761,C_S[1],isolate,SNPV,NA,6,C,mod33,nu and C vary by morph
3,3.585627343,0.906606013,0.006038117,3.040328975,4.278351707,1.465759047,4.902978568,C_S[2],isolate,SNPV,NA,7,C,mod33,nu and C vary by morph
3,3.560321496,0.920281001,0.006096509,3.005421328,4.263745307,1.395957547,4.905254078,C_S[3],isolate,SNPV,NA,8,C,mod33,nu and C vary by morph
3,3.390545144,0.887714945,0.006351411,2.847670614,4.044154136,1.384884398,4.81983776,C_S[4],isolate,SNPV,NA,9,C,mod33,nu and C vary by morph
3,3.388562668,0.885567017,0.006295114,2.840216597,4.040334033,1.371955285,4.831414175,C_S[5],isolate,SNPV,NA,10,C,mod33,nu and C vary by morph
3,0.008386677,0.004274147,2.86e-5,0.005436559,0.010743199,0.001414573,0.018492335,mu_M,grand,MNPV,NA,NA,nu,mod33,nu and C vary by morph
3,2.93905118,0.712394601,0.005730963,2.45960549,3.444955607,1.480707118,4.246657955,muC_M,grand,MNPV,NA,NA,C,mod33,nu and C vary by morph
3,0.007492978,0.005196562,3.3e-5,0.004053475,0.009343409,0.001832878,0.021145548,nu_bar_M[1],isolate,MNPV,NA,1,nu,mod33,nu and C vary by morph
3,0.010617662,0.006981691,5.05e-5,0.006074145,0.013063935,0.003055075,0.028634462,nu_bar_M[2],isolate,MNPV,NA,2,nu,mod33,nu and C vary by morph
3,0.00484339,0.004215461,2.48e-5,0.002056597,0.006257178,7.27e-4,0.01603566,nu_bar_M[3],isolate,MNPV,NA,3,nu,mod33,nu and C vary by morph
3,0.01306566,0.008350983,6.32e-5,0.007664112,0.01593565,0.00398167,0.034775041,nu_bar_M[4],isolate,MNPV,NA,4,nu,mod33,nu and C vary by morph
3,0.012310432,0.007251603,5.53e-5,0.00765987,0.014690721,0.004544817,0.031104282,nu_bar_M[5],isolate,MNPV,NA,5,nu,mod33,nu and C vary by morph
3,2.899655904,1.028441712,0.007324186,2.208739546,3.659637881,0.723787605,4.708535723,C_M[1],isolate,MNPV,NA,1,C,mod33,nu and C vary by morph
3,2.871034127,1.003881047,0.007326754,2.207798279,3.604318567,0.722422985,4.668847193,C_M[2],isolate,MNPV,NA,2,C,mod33,nu and C vary by morph
3,3.272241342,1.003293085,0.0069309870000000004,2.621266567,4.040874052,1.068610928,4.86932663,C_M[3],isolate,MNPV,NA,3,C,mod33,nu and C vary by morph
3,3.039017514,0.881668041,0.006370394,2.466720557,3.658958239,1.171938476,4.649817336,C_M[4],isolate,MNPV,NA,4,C,mod33,nu and C vary by morph
3,2.510317446,1.002022452,0.007379314,1.82310773,3.22454013,0.47263246799999997,4.38221471,C_M[5],isolate,MNPV,NA,5,C,mod33,nu and C vary by morph
3,3.429825606,0.675718754,0.005470416,3.000898263,3.91882595,1.962222123,4.574291618,muC_S,grand,SNPV,NA,NA,C,mod53,nu and C vary by morph
3,0.004242422,0.004081363,2.43e-5,0.001705302,0.00539825,5.01e-4,0.014781205,nu_bar_S[1],isolate,SNPV,NA,6,nu,mod53,nu and C vary by morph
3,0.00296224,0.002792846,1.54e-5,0.001195109,0.003772368,3.65e-4,0.010378222,nu_bar_S[2],isolate,SNPV,NA,7,nu,mod53,nu and C vary by morph
3,0.003876823,0.00407409,2.35e-5,0.001327114,0.004967641,2.9e-4,0.014743567,nu_bar_S[3],isolate,SNPV,NA,8,nu,mod53,nu and C vary by morph
3,0.009515171,0.00695022,4.95e-5,0.005028029,0.011767726,0.00242164,0.027915927,nu_bar_S[4],isolate,SNPV,NA,9,nu,mod53,nu and C vary by morph
3,0.0105428,0.007517969,5.8e-5,0.005739559,0.012979225,0.002786313,0.029788994,nu_bar_S[5],isolate,SNPV,NA,10,nu,mod53,nu and C vary by morph
3,3.495479434,0.929367455,0.00634996,2.926770348,4.202846848,1.338103616,4.880258615,C_S[1],isolate,SNPV,NA,6,C,mod53,nu and C vary by morph
3,3.586606727,0.91679617,0.006047758,3.035708822,4.29277659,1.405853758,4.904993242,C_S[2],isolate,SNPV,NA,7,C,mod53,nu and C vary by morph
3,3.552823348,0.928271927,0.006268154,3.000487744,4.263602886,1.35562199,4.896463762,C_S[3],isolate,SNPV,NA,8,C,mod53,nu and C vary by morph
3,3.388101548,0.900752596,0.006433831,2.838303635,4.057031761,1.321923924,4.81738818,C_S[4],isolate,SNPV,NA,9,C,mod53,nu and C vary by morph
3,3.38301043,0.889533191,0.006384378,2.833708585,4.038453632,1.364335615,4.812739796,C_S[5],isolate,SNPV,NA,10,C,mod53,nu and C vary by morph
3,3.390956076,0.889653198,0.006188944,2.845559395,4.049615545,1.391404673,4.829203459,C_S[5],isolate,SNPV,NA,10,C,mod63,nu and C vary by morph
3,2.940308014,0.712335872,0.005522226,2.461455469,3.44196678,1.486449941,4.253732486,muC_M,grand,MNPV,NA,NA,C,mod35,nu and C vary by morph
3,0.007484241,0.005329548,3.32e-5,0.00407325,0.009298678,0.001840771,0.021291285,nu_bar_M[1],isolate,MNPV,NA,1,nu,mod35,nu and C vary by morph
3,0.010621315,0.007006749,5.01e-5,0.006067156,0.013053851,0.003057737,0.02904274,nu_bar_M[2],isolate,MNPV,NA,2,nu,mod35,nu and C vary by morph
3,0.004899905,0.004364259,2.57e-5,0.002061817,0.006251388,7.41e-4,0.016461196,nu_bar_M[3],isolate,MNPV,NA,3,nu,mod35,nu and C vary by morph
3,0.013059824,0.008415744,6.2e-5,0.007589014,0.015969419,0.003931663,0.034835522,nu_bar_M[4],isolate,MNPV,NA,4,nu,mod35,nu and C vary by morph
3,0.012405234,0.007386031,5.78e-5,0.007714286,0.014802114,0.004596732,0.031619868,nu_bar_M[5],isolate,MNPV,NA,5,nu,mod35,nu and C vary by morph
3,2.90369681,1.028243685,0.006964457,2.214115793,3.662607514,0.742941604,4.720538009,C_M[1],isolate,MNPV,NA,1,C,mod35,nu and C vary by morph
