mod_names,mod_num,MNPV_mod,SNPV_mod,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,sse
mod35,model4,3,5,0,0,-97.40995551685708,9.403326416920804,11.81951606414695,1.6737918907336504,194.81991103371416,18.806652833841607,3.7283461904249156
mod37,model6,3,7,-0.058677636143116274,0.33442326198810957,-97.4686331530002,9.43405284973408,11.36411871144154,1.6290995926918967,194.9372663060004,18.86810569946816,3.7178054460853773
mod65,model13,6,5,-0.1440625243332878,1.3473923809971102,-97.55401804119042,9.3331340309081,13.436846050137504,2.068683679672238,195.10803608238083,18.6662680618162,3.6502993661739715
mod67,model16,6,7,-0.2026581930475917,1.4038314806901426,-97.61261370990465,9.349722804949424,12.955521510826374,2.0401579792789386,195.2252274198093,18.69944560989885,3.640031120348091
mod75,model14,7,5,-1.0832587316563274,2.028846850000661,-98.49321424851341,9.262275218535718,14.135407196637049,2.111190830656377,196.98642849702682,18.524550437071436,3.653818031839736
mod1,model2,1,1,-1.1556434311979693,2.5874188784871373,-98.56559894805507,10.476519222561647,10.303709511072803,1.6798148786831297,197.13119789611014,20.953038445123294,3.871593262114617
mod77,model18,7,7,-1.18033783644454,2.042291162777113,-98.59029335330167,9.267231250152662,13.68185265444274,2.0671936706781437,197.18058670660335,18.534462500305324,3.643404674623031
mod57,model12,5,7,-1.2806653536971595,2.2777276293939064,-98.69062087055423,9.22685788579906,14.19757092093849,2.19387256645788,197.38124174110845,18.45371577159812,3.6148383105360757
mod55,model10,5,5,-1.3390765800954867,2.2243655630401493,-98.7490320969526,9.224640424793781,14.760511718557837,2.245299863737081,197.4980641939052,18.449280849587563,3.6255878356775035
mod33,model3,3,3,-1.5289510491789713,2.5235841456172086,-98.93890656603608,9.985876272471767,11.132557581748982,1.7377491508753908,197.87781313207216,19.971752544943534,3.7477471769433905
mod36,model5,3,6,-1.532206616274463,2.265851020783727,-98.94216213313156,9.960800381617966,12.093952272051471,1.883573655126768,197.88432426626312,19.921600763235933,3.734835362337101
mod66,model15,6,6,-1.607174548561881,2.622326355670834,-99.017130065419,9.872770254866731,13.604792519926194,2.2171507964359574,198.034260130838,19.745540509733463,3.6568460024036726
mod63,model8,6,3,-1.708297340959522,2.860338241339807,-99.11825285781659,9.906438554921454,12.755376135485015,2.1326054018402996,198.23650571563317,19.81287710984291,3.667808153698871
mod0,model1,0,0,-2.289862147062914,4.249639398918602,-99.69981766391999,11.854094155654565,2.2421960539250048,0.4576753528057763,199.39963532783997,23.70818831130913,3.880578942368975
mod76,model17,7,6,-2.603103334348372,3.0414296227451487,-100.01305885120549,9.810672131818379,14.35529901507466,2.2650164258732106,200.02611770241097,19.621344263636757,3.6584759650358096
mod73,model9,7,3,-2.7438100228494626,3.237099813135505,-100.15376553970655,9.867222212793262,13.553047780766327,2.204297098385719,200.3075310794131,19.734444425586524,3.671807720194263
mod53,model7,5,3,-2.7851102110112027,3.3657572648441136,-100.19506572786834,9.801615575604893,14.026329866690343,2.2889431002665166,200.39013145573668,19.603231151209787,3.6440056634252462
mod56,model11,5,6,-2.9027047643582424,3.186185925036254,-100.31266028121536,9.803547017440376,15.08271453208215,2.4263027722330834,200.62532056243072,19.607094034880753,3.632962993670891
