Douglas_fir,Site,MNPV,total,id,df_round,n_trees
0,Crystal Springs Campground,0,3,27,0,0
0,Grand Grove Stables,0,6,28,0,0
0,Sunset campground,0,3,30,0,0
0,Quail flat,0,2,31,0,0
0,Pincrest exp for,0,1,32,0,0
0,Swale campground,0,2,29,0,0
0,Benedict Meadows,0,12,34,0,0
0,hughes55,0,1,88,0,0
0,hughes56,0,1,89,0,0
0,hughes16,0,1,50,0,0
0,hughes58,0,1,91,0,0
0,hughes59,0,1,92,0,0
0,hughes51,0,1,84,0,0
0,hughes52,0,1,85,0,0
0,hughes21,1,2,55,0,0
0,hughes50,0,1,83,0,0
0,hughes41,0,1,74,0,0
0,hughes54,0,1,87,0,0
0,hughes12,0,1,46,0,0
0,hughes13,0,1,47,0,0
0,BAL,1,1,105,0,0
0,hughes53,0,1,86,0,0
0,hughes24,1,2,58,0,0
0,NMX,1,1,104,0,0
0,Hull Creek campground,0,1,33,0,0
0,hughes39,1,2,73,0,0
0,hughes57,0,1,90,0,0
0.012692656,hughes15,0,1,49,0,0
0.014457831,hughes14,0,1,48,0.02702702702702703,1
0.014778325,PIN3,58,133,122,0.02702702702702703,1
0.034428795,hughes29,1,2,63,0.02702702702702703,1
0.051282051,hughes20,1,2,54,0.05405405405405406,2
0.051401869,hughes32,1,2,66,0.05405405405405406,2
0.052631579,Zone 2,2,2,22,0.05405405405405406,2
0.054313099,Fish Creek,1,2,26,0.05405405405405406,2
0.060759494,hughes49,0,1,82,0.05405405405405406,2
0.084897959,hughes25,1,2,59,0.08108108108108109,3
0.090692124,McKrosky,0,3,16,0.08108108108108109,3
0.097297297,hughes66,0,1,128,0.10810810810810811,4
0.103419516,hughes35,1,1,69,0.10810810810810811,4
0.108606557,hughes38,1,2,72,0.10810810810810811,4
0.114951768,hughes2,0,1,36,0.10810810810810811,4
0.11875,hughes17,0,1,51,0.10810810810810811,4
0.119678715,New Mexico,0,8,35,0.10810810810810811,4
0.130033557,hughes30,1,2,64,0.13513513513513514,5
0.138041734,DRY,1,1,107,0.13513513513513514,5
0.144694534,Zone 4,2,7,17,0.13513513513513514,5
0.150807899,hughes19,1,1,53,0.16216216216216217,6
0.156722355,Wheelbarrow Trail,0,1,19,0.16216216216216217,6
0.157370518,hughes42,0,1,75,0.16216216216216217,6
0.162583519,hughes18,1,2,52,0.16216216216216217,6
0.165820643,hughes22,1,2,56,0.16216216216216217,6
0.1875,hughes46,0,1,79,0.1891891891891892,7
0.1875,hughes47,0,1,80,0.1891891891891892,7
0.191780822,hughes36,0,1,70,0.1891891891891892,7
0.195604396,hughes23,1,2,57,0.1891891891891892,7
0.199335548,hughes31,1,2,65,0.1891891891891892,7
0.218380346,hughes27,0,1,61,0.21621621621621623,8
0.220665499,hughes37,1,2,71,0.21621621621621623,8
0.231404959,hughes10,0,1,44,0.24324324324324326,9
